code,description,brochures,product_url
10-120-04-07,"Scalpel handle, no. 3, length 16.5 cm","General Surgery; Oral and maxillofacial surgery; Cardio, Thoracic and Vascular Surgery",https://www.klsmartin.com/shop/en/products/product/10-120-04-07/
10-130-03-07,"Scalpel handle, no. 3, length 12 cm","Plastic Surgery; General Surgery; Oral and maxillofacial surgery; Neurosurgery; Cardio, Thoracic and Vascular Surgery",https://www.klsmartin.com/shop/en/products/product/10-130-03-07/
10-130-04-07,"Scalpel handle, no. 3, length 12 cm",90-100-48-07 General | General Surgery (https://www.klsmartin.com/mediathek/90-100-48-07_General_Surgery.pdf); 90-132-48-04 Cardio | Cardio Thoracic and Vascular Surgery (https://www.klsmartin.com/mediathek/90-132-48-04_Cardio_Thoracic_and_Vascular_Surgery.pdf),https://www.klsmartin.com/shop/en/products/product/10-130-04-07/
10-130-05-07,"Scalpel handle, no. 3, with cm-scale, 12 cm","General Surgery; Cardio, Thoracic and Vascular Surgery",https://www.klsmartin.com/shop/en/products/product/10-130-05-07/
10-133-31-07,"Scalpel handle, no. 3 L, long, length 21.5 cm","Plastic Surgery; General Surgery; Neurosurgery; Cardio, Thoracic and Vascular Surgery",https://www.klsmartin.com/shop/en/products/product/10-133-31-07/
10-133-35-07,Discontinued / No Description Found,"Plastic Surgery; General Surgery; Cardio, Thoracic and Vascular Surgery",https://www.klsmartin.com/shop/en/products/product/10-133-35-07/
10-135-01-07,"Scalpel handle, no. 3 XL, length 26 cm",90-100-48-07 General | General Surgery (https://www.klsmartin.com/mediathek/90-100-48-07_General_Surgery.pdf); 90-424-48-04 Neuro | Neurosurgery (https://www.klsmartin.com/mediathek/90-424-48-04_Neurosurgery_catalog.pdf),https://www.klsmartin.com/shop/en/products/product/10-135-01-07/
10-137-07-07,"Scalpel handle, no. 7, solid, length 16 cm","Plastic Surgery; General Surgery; Oral and maxillofacial surgery; Neurosurgery; Cardio, Thoracic and Vascular Surgery",https://www.klsmartin.com/shop/en/products/product/10-137-07-07/
10-137-71-07,"Scalpel handle, no. 7 K, solid, short, length 12.5 cm",90-100-48-07 General | General Surgery (https://www.klsmartin.com/mediathek/90-100-48-07_General_Surgery.pdf); 90-132-48-04 Cardio | Cardio Thoracic and Vascular Surgery (https://www.klsmartin.com/mediathek/90-132-48-04_Cardio_Thoracic_and_Vascular_Surgery.pdf); 90-272-48-04 Plastic | Plastische Chirurgie (https://www.klsmartin.com/mediathek/90-272-48-04_Plastic_surgery_catalog.pdf); 90-429-16-05 Suggested Surgical Instrument Sets (https://www.klsmartin.com/mediathek/90-429-16-05_Suggested_surgical_instrument_sets_hand_surgery.pdf); 91-350-83-48 OMF | Oral and maxillofacial surgery (https://www.klsmartin.com/mediathek/91-350-83-48_OMF_Oral_and_maxillofacial_surgery.pdf),https://www.klsmartin.com/shop/en/products/product/10-137-71-07/
10-140-03-07,"Scalpel handle, with round hollow handle, scalpel handle no. 3, length 15.5 cm",General Surgery,https://www.klsmartin.com/shop/en/products/product/10-140-03-07/
10-142-03-07,"Scalpel handle, with plastic handle, scalpel handle no. 3, length 12.5 cm",General Surgery,https://www.klsmartin.com/shop/en/products/product/10-142-03-07/
10-146-03-07,"Scalpel handle, round, straight, no. 3, length 14 cm","Plastic Surgery; General Surgery; Oral and maxillofacial surgery; Cardio, Thoracic and Vascular Surgery",https://www.klsmartin.com/shop/en/products/product/10-146-03-07/
10-147-03-07,"Scalpel handle, round, angled, no. 3, length 14 cm",90-100-48-07 General | General Surgery (https://www.klsmartin.com/mediathek/90-100-48-07_General_Surgery.pdf); 90-132-48-04 Cardio | Cardio Thoracic and Vascular Surgery (https://www.klsmartin.com/mediathek/90-132-48-04_Cardio_Thoracic_and_Vascular_Surgery.pdf); 91-350-83-48 OMF | Oral and maxillofacial surgery (https://www.klsmartin.com/mediathek/91-350-83-48_OMF_Oral_and_maxillofacial_surgery.pdf),https://www.klsmartin.com/shop/en/products/product/10-147-03-07/
10-148-03-07,"Scalpel handle, acc. to Kaye, solid, scalpel handle no. 3, length 15 cm",General Surgery,https://www.klsmartin.com/shop/en/products/product/10-148-03-07/
10-149-01-07,"Scalpel handle, acc. to Landolt, bayonet, for micro sclapel blades, length 21 cm",Plastic Surgery,https://www.klsmartin.com/shop/en/products/product/10-149-01-07/
